targetID	alnScore	seqIdentity	eVal	locus_tag_nissle	locus_tag_k12
NZ_CP082949.1_cds_WP_000386565.1_4020	NC_000913.3_cds_NP_415321.1_774	0.985	963	K8943_RS20645	b0800
NZ_CP082949.1_cds_WP_000386733.1_991	NC_000913.3_cds_NP_416790.1_2268	0.99	663	K8943_RS05030	b2287
NZ_CP082949.1_cds_WP_000387388.1_4700	NC_000913.3_cds_NP_415858.1_1329	0.986	984	K8943_RS24095	b1342
NZ_CP082949.1_cds_WP_000387713.1_1131	NC_000913.3_cds_NP_416952.2_2433	0.996	294	K8943_RS05765	b2457
NZ_CP082949.1_cds_WP_000387762.1_2516	NC_000913.3_cds_NP_418205.1_3698	0.982	1506	K8943_RS12830	b3749
NZ_CP082949.1_cds_WP_000388086.1_1486	NC_000913.3_cds_NP_417342.1_2816	0.972	2259	K8943_RS07605	b2866
NZ_CP082949.1_cds_WP_000389022.1_3586	NC_000913.3_cds_NP_414828.1_290	0.97	543	K8943_RS18390	b0294
NZ_CP082949.1_cds_WP_000389030.1_862	NC_000913.3_cds_YP_588461.1_2152	0.992	255	K8943_RS04380	b4502
NZ_CP082949.1_cds_WP_000389260.1_4079	NC_000913.3_cds_NP_415379.1_834	0.985	489	K8943_RS20940	b0858
NZ_CP082949.1_cds_WP_000389811.1_1543	NC_000913.3_cds_NP_417399.1_2875	0.987	861	K8943_RS07890	b2924
NZ_CP082949.1_cds_WP_000393511.1_984	NC_000913.3_cds_NP_416783.1_2261	0.987	555	K8943_RS04995	b2280
NZ_CP082949.1_cds_WP_000394106.1_1580	NC_000913.3_cds_NP_417432.1_2908	0.966	1047	K8943_RS08080	b2957
NZ_CP082949.1_cds_WP_000394983.1_369	NC_000913.3_cds_NP_416330.1_1810	0.983	1557	K8943_RS01865	b1816
NZ_CP082949.1_cds_WP_000395836.1_2557	NC_000913.3_cds_NP_418245.1_3737	0.942	1656	K8943_RS13085	b3801
NZ_CP082949.1_cds_WP_000396047.1_3398	NC_000913.3_cds_NP_414688.1_146	0.988	705	K8943_RS17415	b0146
NZ_CP082949.1_cds_WP_000397144.1_3059	NC_000913.3_cds_NP_418681.1_4173	0.987	1512	K8943_RS15700	b4260
NZ_CP082949.1_cds_WP_000397351.1_4048	NC_000913.3_cds_NP_415348.1_803	0.973	1236	K8943_RS20785	b0827
NZ_CP082949.1_cds_WP_000397910.1_3183	NC_000913.3_cds_NP_418761.1_4254	0.939	165	K8943_RS16325	b4341
NZ_CP082949.1_cds_WP_000399017.1_3357	NC_000913.3_cds_NP_414654.1_112	0.967	1371	K8943_RS17210	b0112
NZ_CP082949.1_cds_WP_000399162.1_2079	NC_000913.3_cds_NP_417809.1_3286	0.968	1806	K8943_RS10635	b3350
NZ_CP082949.1_cds_WP_000399404.1_1229	NC_000913.3_cds_NP_417060.1_2546	0.984	729	K8943_RS06250	b2565
NZ_CP082949.1_cds_WP_000401115.1_3789	NC_000913.3_cds_NP_415044.4_500	0.966	1455	K8943_RS19415	b0511
NZ_CP082949.1_cds_WP_000401593.1_1853	NC_000913.3_cds_YP_026203.3_3059	0.992	1332	K8943_RS09455	b3110
NZ_CP082949.1_cds_WP_000402206.1_2855	NC_000913.3_cds_NP_418489.1_3982	0.972	1650	K8943_RS14660	b4065
NZ_CP082949.1_cds_WP_000404886.1_2988	NC_000913.3_cds_NP_418614.4_4111	0.954	1398	K8943_RS15345	b4193
NZ_CP082949.1_cds_WP_000405647.1_2924	NC_000913.3_cds_NP_418551.1_4045	0.978	273	K8943_RS15005	b4127
NZ_CP082949.1_cds_WP_000405737.1_800	NC_000913.3_cds_NP_416611.1_2090	0.975	1035	K8943_RS04070	b2108
NZ_CP082949.1_cds_WP_000406000.1_1117	NC_000913.3_cds_NP_416929.4_2410	0.978	426	K8943_RS05695	b2434
NZ_CP082949.1_cds_WP_000406090.1_923	NC_000913.3_cds_NP_416718.1_2195	0.971	1056	K8943_RS04690	b2214
NZ_CP082949.1_cds_WP_000406402.1_4529	NC_000913.3_cds_NP_415704.1_1161	0.977	1542	K8943_RS23225	b1186
NZ_CP082949.1_cds_WP_000406487.1_1838	NC_000913.3_cds_NP_417565.2_3043	0.972	777	K8943_RS09380	b3094
NZ_CP082949.1_cds_WP_000406926.1_371	NC_000913.3_cds_NP_416332.1_1813	0.992	801	K8943_RS01875	b1818
NZ_CP082949.1_cds_WP_000409203.1_1181	NC_000913.3_cds_NP_417008.1_2491	0.99	621	K8943_RS06015	b2513
NZ_CP082949.1_cds_WP_000409442.1_3230	NC_000913.3_cds_NP_418809.4_4303	0.981	1938	K8943_RS16575	b4392
NZ_CP082949.1_cds_WP_000409832.1_4230	NC_000913.3_cds_NP_415544.1_1003	0.972	1325	K8943_RS21705	b1025
NZ_CP082949.1_cds_WP_000409908.1_3737	NC_000913.3_cds_NP_414988.1_446	0.961	312	K8943_RS19150	b0454
NZ_CP082949.1_cds_WP_000410144.1_3195	NC_000913.3_cds_NP_418776.1_4268	0.988	1362	K8943_RS16385	b4356
NZ_CP082949.1_cds_WP_000410198.1_1095	NC_000913.3_cds_YP_588464.1_2386	0.986	219	K8943_RS05585	b4546
NZ_CP082949.1_cds_WP_000410785.1_4101	NC_000913.3_cds_NP_415401.1_856	0.995	225	K8943_RS21050	b0880
NZ_CP082949.1_cds_WP_000412169.1_290	NC_000913.3_cds_NP_416252.1_1730	1.0	321	K8943_RS01470	b1738
NZ_CP082949.1_cds_WP_000412379.1_157	NC_000913.3_cds_NP_416122.1_1597	0.984	1383	K8943_RS00795	b1605
NZ_CP082949.1_cds_WP_000412431.1_2853	NC_000913.3_cds_NP_418487.1_3980	0.978	465	K8943_RS14650	b4063
NZ_CP082949.1_cds_WP_000413685.1_3663	NC_000913.3_cds_NP_414915.1_374	0.977	1095	K8943_RS18780	b0381
NZ_CP082949.1_cds_WP_000414438.1_4367	NC_000913.3_cds_NP_415578.3_1033	1.0	255	K8943_RS22390	b1060
NZ_CP082949.1_cds_WP_000414563.1_11	NC_000913.3_cds_NP_415939.2_1410	0.99	924	K8943_RS00055	b1422
NZ_CP082949.1_cds_WP_000415422.1_853	NC_000913.3_cds_NP_416667.1_2143	0.962	942	K8943_RS04335	b2162
NZ_CP082949.1_cds_WP_000416264.1_2821	NC_000913.3_cds_NP_418470.4_3962	0.953	516	K8943_RS14490	b4046
NZ_CP082949.1_cds_WP_000416368.1_3057	NC_000913.3_cds_NP_418679.1_4171	0.968	2856	K8943_RS15690	b4258
NZ_CP082949.1_cds_WP_000416895.1_2188	NC_000913.3_cds_NP_417911.4_3390	0.955	714	K8943_RS11180	b3454
NZ_CP082949.1_cds_WP_000417060.1_3442	NC_000913.3_cds_YP_026160.1_192	0.995	201	K8943_RS17635	b4406
NZ_CP082949.1_cds_WP_000419067.1_3644	NC_000913.3_cds_NP_414889.1_349	0.982	834	K8943_RS18685	b0355
NZ_CP082949.1_cds_WP_000420115.1_976	NC_000913.3_cds_NP_416771.4_2249	0.953	918	K8943_RS04955	b2268
NZ_CP082949.1_cds_WP_000420625.1_4205	NC_000913.3_cds_NP_415520.1_979	0.988	921	K8943_RS21580	b1000
NZ_CP082949.1_cds_WP_000421769.1_2790	NC_000913.3_cds_NP_418445.1_3937	0.969	690	K8943_RS14335	b4021
NZ_CP082949.1_cds_WP_000422035.1_4625	NC_000913.3_cds_NP_415788.1_1250	0.977	1050	K8943_RS23720	b1272
NZ_CP082949.1_cds_WP_000422149.1_1840	NC_000913.3_cds_NP_417566.1_3045	0.987	663	K8943_RS09390	b3095
NZ_CP082949.1_cds_WP_000422211.1_920	NC_000913.3_cds_NP_416715.1_2192	0.98	1644	K8943_RS04675	b2211
NZ_CP082949.1_cds_WP_000423742.1_4437	NC_000913.3_cds_NP_415649.1_1105	0.978	1371	K8943_RS22740	b1131
NZ_CP082949.1_cds_WP_000424395.1_2047	NC_000913.3_cds_NP_417778.1_3254	0.998	606	K8943_RS10475	b3319
NZ_CP082949.1_cds_WP_000424788.1_3936	NC_000913.3_cds_NP_415228.1_680	0.971	207	K8943_RS20190	b0699
NZ_CP082949.1_cds_WP_000424855.1_2724	NC_000913.3_cds_NP_418381.1_3875	0.92	663	K8943_RS13940	b3946
NZ_CP082949.1_cds_WP_000425032.1_1043	NC_000913.3_cds_NP_416843.1_2320	0.958	2145	K8943_RS05290	b2341
NZ_CP082949.1_cds_WP_000425463.1_846	NC_000913.3_cds_NP_416659.1_2135	0.971	837	K8943_RS04300	b2154
NZ_CP082949.1_cds_WP_000425646.1_3322	NC_000913.3_cds_YP_025294.2_79	0.964	1725	K8943_RS17035	b0077
NZ_CP082949.1_cds_WP_000426124.1_998	NC_000913.3_cds_NP_416797.2_2275	0.979	495	K8943_RS05065	b2294
NZ_CP082949.1_cds_WP_000426391.1_1056	NC_000913.3_cds_NP_416867.1_2345	0.948	1329	K8943_RS05360	b2366
NZ_CP082949.1_cds_WP_000428784.1_1556	NC_000913.3_cds_NP_417408.1_2883	0.967	1389	K8943_RS07955	b2933
NZ_CP082949.1_cds_WP_000429166.1_21	NC_000913.3_cds_NP_415951.1_1421	0.973	537	K8943_RS00105	b1434
NZ_CP082949.1_cds_WP_000429386.1_2504	NC_000913.3_cds_NP_418193.1_3686	1.0	240	K8943_RS12770	b3737
NZ_CP082949.1_cds_WP_000429656.1_1926	NC_000913.3_cds_NP_417657.2_3135	0.996	255	K8943_RS09835	b3190
NZ_CP082949.1_cds_WP_000430015.1_4026	NC_000913.3_cds_NP_415326.1_780	0.968	2283	K8943_RS20675	b0805
NZ_CP082949.1_cds_WP_000431376.1_385	NC_000913.3_cds_YP_026161.1_1827	0.991	699	K8943_RS01945	b1831
NZ_CP082949.1_cds_WP_000431870.1_4719	NC_000913.3_cds_NP_415928.1_1398	0.96	1758	K8943_RS24190	b1410
NZ_CP082949.1_cds_WP_000432970.1_2510	NC_000913.3_cds_NP_418199.1_3692	0.978	459	K8943_RS12800	b3743
NZ_CP082949.1_cds_WP_000433460.1_68	NC_000913.3_cds_NP_415996.2_1464	0.972	1698	K8943_RS00340	b1479
NZ_CP082949.1_cds_WP_000434038.1_793	NC_000913.3_cds_NP_416604.1_2083	0.983	747	K8943_RS04035	b2101
NZ_CP082949.1_cds_WP_000435156.1_1058	NC_000913.3_cds_NP_416869.1_2347	0.975	1164	K8943_RS05370	b2368
NZ_CP082949.1_cds_WP_000435290.1_329	NC_000913.3_cds_NP_416289.1_1767	0.98	1380	K8943_RS01665	b1775
NZ_CP082949.1_cds_WP_000436900.1_4137	NC_000913.3_cds_NP_415439.1_895	0.987	894	K8943_RS21235	b0919
NZ_CP082949.1_cds_WP_000437380.1_1812	NC_000913.3_cds_NP_417539.1_3017	0.99	1842	K8943_RS09245	b3067
NZ_CP082949.1_cds_WP_000437935.1_1003	NC_000913.3_cds_NP_416802.1_2280	0.988	543	K8943_RS05090	b2299
NZ_CP082949.1_cds_WP_000438245.1_1931	NC_000913.3_cds_NP_417662.1_3140	0.99	810	K8943_RS09860	b3195
NZ_CP082949.1_cds_WP_000438582.1_3163	NC_000913.3_cds_NP_418742.1_4232	0.981	1185	K8943_RS16225	b4322
NZ_CP082949.1_cds_WP_000438745.1_2623	NC_000913.3_cds_YP_026272.1_3780	0.964	1164	K8943_RS13415	b3845
NZ_CP082949.1_cds_WP_000438947.1_2295	NC_000913.3_cds_NP_418005.1_3486	0.968	564	K8943_RS11720	b3549
NZ_CP082949.1_cds_WP_000439210.1_2228	NC_000913.3_cds_NP_417949.1_3427	0.973	1189	K8943_RS11380	b3492
NZ_CP082949.1_cds_WP_000439331.1_1733	NC_000913.3_cds_NP_417475.1_2953	0.987	495	K8943_RS08850	b3002
NZ_CP082949.1_cds_WP_000440317.1_1971	NC_000913.3_cds_NP_417710.1_3188	0.967	930	K8943_RS10060	b3243
NZ_CP082949.1_cds_WP_000440430.1_285	NC_000913.3_cds_NP_416247.1_1725	0.892	759	K8943_RS01445	b1733
NZ_CP082949.1_cds_WP_000440772.1_1418	NC_000913.3_cds_NP_417280.1_2760	0.975	648	K8943_RS07245	b2800
NZ_CP082949.1_cds_WP_000440932.1_844	NC_000913.3_cds_NP_416657.1_2133	0.965	1158	K8943_RS04290	b2152
NZ_CP082949.1_cds_WP_000442860.1_1778	NC_000913.3_cds_NP_417510.1_2985	0.982	1161	K8943_RS09075	b3038
NZ_CP082949.1_cds_WP_000443048.1_4613	NC_000913.3_cds_NP_415776.1_1238	0.955	807	K8943_RS23660	b1260
NZ_CP082949.1_cds_WP_000443690.1_1096	NC_000913.3_cds_NP_416906.1_2387	0.977	2016	K8943_RS05590	b2411
NZ_CP082949.1_cds_WP_000444377.1_2141	NC_000913.3_cds_NP_417875.1_3352	0.967	2085	K8943_RS10945	b3416
NZ_CP082949.1_cds_WP_000444487.1_4442	NC_000913.3_cds_NP_415654.1_1110	0.972	1251	K8943_RS22765	b1136
NZ_CP082949.1_cds_WP_000444545.1_2625	NC_000913.3_cds_NP_418289.1_3782	0.971	1332	K8943_RS13425	b3847
NZ_CP082949.1_cds_WP_000444744.1_1773	NC_000913.3_cds_NP_417504.1_2980	0.987	828	K8943_RS09050	b3032
NZ_CP082949.1_cds_WP_000445243.1_4126	NC_000913.3_cds_NP_415428.1_884	0.954	1274	K8943_RS21180	b0908
NZ_CP082949.1_cds_WP_000445413.1_1924	NC_000913.3_cds_NP_417655.1_3133	0.982	279	K8943_RS09825	b3188
NZ_CP082949.1_cds_WP_000445548.1_4162	NC_000913.3_cds_NP_415471.1_927	0.985	1641	K8943_RS21360	b0951
NZ_CP082949.1_cds_WP_000445640.1_195	NC_000913.3_cds_NP_416159.2_1635	0.983	435	K8943_RS00985	b1642
NZ_CP082949.1_cds_WP_000445658.1_1305	NC_000913.3_cds_NP_417167.1_2647	0.994	738	K8943_RS06655	b2682
NZ_CP082949.1_cds_WP_000446365.1_2879	NC_000913.3_cds_NP_418506.1_4000	0.957	1032	K8943_RS14780	b4082
NZ_CP082949.1_cds_WP_000447361.1_1030	NC_000913.3_cds_NP_416830.1_2308	0.944	810	K8943_RS05225	b2327
NZ_CP082949.1_cds_WP_000447529.1_2043	NC_000913.3_cds_NP_417774.1_3250	1.0	333	K8943_RS10455	b3315
NZ_CP082949.1_cds_WP_000448156.1_2150	NC_000913.3_cds_NP_417884.1_3360	0.951	1506	K8943_RS10990	b3426
NZ_CP082949.1_cds_WP_000449449.1_1891	NC_000913.3_cds_NP_417623.1_3098	0.954	419	K8943_RS09650	b3154
NZ_CP082949.1_cds_WP_000450121.1_4061	NC_000913.3_cds_NP_415361.1_816	0.986	759	K8943_RS20850	b0840
NZ_CP082949.1_cds_WP_000450409.1_700	NC_000913.3_cds_NP_416511.4_1988	0.993	330	K8943_RS03570	b2007
NZ_CP082949.1_cds_WP_000450473.1_1414	NC_000913.3_cds_NP_417276.1_2756	0.989	1290	K8943_RS07225	b2796
NZ_CP082949.1_cds_WP_000450588.1_1818	NC_000913.3_cds_NP_417545.1_3023	0.975	333	K8943_RS09280	b3074
NZ_CP082949.1_cds_WP_000451246.1_2009	NC_000913.3_cds_NP_417740.1_3216	0.963	819	K8943_RS10285	b3281
NZ_CP082949.1_cds_WP_000455227.1_2815	NC_000913.3_cds_NP_418464.1_3956	0.982	873	K8943_RS14460	b4040
NZ_CP082949.1_cds_WP_000455604.1_294	NC_000913.3_cds_NP_416256.2_1734	0.968	576	K8943_RS01490	b1742
NZ_CP082949.1_cds_WP_000455798.1_2301	NC_000913.3_cds_NP_418011.1_3492	0.996	291	K8943_RS11750	b3555
NZ_CP082949.1_cds_WP_000456474.1_4560	NC_000913.3_cds_NP_415730.1_1188	0.982	834	K8943_RS23380	b1212
NZ_CP082949.1_cds_WP_000456733.1_366	NC_000913.3_cds_NP_416327.1_1807	0.981	579	K8943_RS01850	b1813
NZ_CP082949.1_cds_WP_000457211.1_354	NC_000913.3_cds_NP_416312.1_1792	0.982	639	K8943_RS01790	b1798
NZ_CP082949.1_cds_WP_000457334.1_364	NC_000913.3_cds_NP_416325.1_1805	0.983	180	K8943_RS01840	b1811
NZ_CP082949.1_cds_WP_000457597.1_4527	NC_000913.3_cds_NP_415702.1_1159	0.985	1269	K8943_RS23215	b1184
NZ_CP082949.1_cds_WP_000458409.1_1108	NC_000913.3_cds_NP_416919.1_2400	0.95	834	K8943_RS05650	b2424
NZ_CP082949.1_cds_WP_000458843.1_4094	NC_000913.3_cds_NP_415394.4_849	0.971	1653	K8943_RS21015	b0873
NZ_CP082949.1_cds_WP_000459216.1_1487	NC_000913.3_cds_NP_417343.1_2817	0.946	879	K8943_RS07610	b2867
NZ_CP082949.1_cds_WP_000459361.1_174	NC_000913.3_cds_NP_416139.1_1614	0.974	1173	K8943_RS00880	b1622
NZ_CP082949.1_cds_WP_000459600.1_2617	NC_000913.3_cds_YP_026270.1_3774	0.986	516	K8943_RS13385	b3838
NZ_CP082949.1_cds_WP_000460035.1_1271	NC_000913.3_cds_NP_417101.1_2590	0.977	1362	K8943_RS06480	b2610
NZ_CP082949.1_cds_WP_000460119.1_3783	NC_000913.3_cds_NP_415037.1_494	0.971	927	K8943_RS19385	b0504
NZ_CP082949.1_cds_WP_000460357.1_2968	NC_000913.3_cds_NP_418594.1_4091	0.976	1281	K8943_RS15245	b4173
NZ_CP082949.1_cds_WP_000460431.1_3847	NC_000913.3_cds_YP_588442.1_591	0.994	198	K8943_RS19710	b4512
NZ_CP082949.1_cds_WP_000460504.1_1852	NC_000913.3_cds_YP_026202.1_3058	0.979	1311	K8943_RS09450	b4470
NZ_CP082949.1_cds_WP_000460672.1_2012	NC_000913.3_cds_NP_417743.1_3219	0.949	474	K8943_RS10300	b3284
NZ_CP082949.1_cds_WP_000460707.1_343	NC_000913.3_cds_NP_416303.1_1781	0.977	447	K8943_RS01735	b1789
NZ_CP082949.1_cds_WP_000460796.1_4189	NC_000913.3_cds_NP_415498.1_954	0.974	1137	K8943_RS21500	b0979
NZ_CP082949.1_cds_WP_000460845.1_3135	NC_000913.3_cds_NP_418724.1_4212	0.997	1314	K8943_RS16085	b4304
NZ_CP082949.1_cds_WP_000461446.1_2050	NC_000913.3_cds_NP_417781.1_3257	0.957	423	K8943_RS10490	b3322
NZ_CP082949.1_cds_WP_000461633.1_961	NC_000913.3_cds_NP_416757.1_2234	0.976	969	K8943_RS04880	b2254
NZ_CP082949.1_cds_WP_000462701.1_4146	NC_000913.3_cds_NP_415448.1_904	0.984	1191	K8943_RS21280	b0928
NZ_CP082949.1_cds_WP_000462776.1_3340	NC_000913.3_cds_NP_414637.1_96	0.986	1152	K8943_RS17125	b0095
NZ_CP082949.1_cds_WP_000462905.1_1996	NC_000913.3_cds_NP_417727.1_3204	0.996	297	K8943_RS10185	b3261
NZ_CP082949.1_cds_WP_000464491.1_4082	NC_000913.3_cds_NP_415382.1_837	0.961	669	K8943_RS20955	b0861
NZ_CP082949.1_cds_WP_000465919.1_3392	NC_000913.3_cds_NP_414682.1_140	0.832	741	K8943_RS17385	b0140
NZ_CP082949.1_cds_WP_000467098.1_3753	NC_000913.3_cds_NP_415004.1_463	0.996	330	K8943_RS19235	b0471
NZ_CP082949.1_cds_WP_000467180.1_3714	NC_000913.3_cds_NP_414965.1_423	0.986	1992	K8943_RS19035	b0431
NZ_CP082949.1_cds_WP_000467705.1_3865	NC_000913.3_cds_NP_415151.4_611	0.992	1059	K8943_RS19800	b0618
NZ_CP082949.1_cds_WP_000467859.1_3192	NC_000913.3_cds_NP_418773.1_4265	0.995	204	K8943_RS16370	b4353
NZ_CP082949.1_cds_WP_000468182.1_4373	NC_000913.3_cds_NP_415584.1_1039	0.991	585	K8943_RS22420	b1066
NZ_CP082949.1_cds_WP_000468827.1_2394	NC_000913.3_cds_NP_418110.1_3598	0.959	1206	K8943_RS12215	b3653
NZ_CP082949.1_cds_WP_000469033.1_4012	NC_000913.3_cds_NP_415313.1_766	0.975	1107	K8943_RS20605	b0792
NZ_CP082949.1_cds_WP_000469706.1_762	NC_000913.3_cds_NP_416573.4_2053	0.97	1353	K8943_RS03880	b2069
NZ_CP082949.1_cds_WP_000470565.1_868	NC_000913.3_cds_NP_416681.1_2158	0.964	1557	K8943_RS04410	b2176
NZ_CP082949.1_cds_WP_000471858.1_3042	NC_000913.3_cds_NP_418663.1_4157	0.971	2697	K8943_RS15615	b4242
NZ_CP082949.1_cds_WP_000472021.1_1085	NC_000913.3_cds_NP_416897.2_2377	0.985	345	K8943_RS05515	b2398
NZ_CP082949.1_cds_WP_000473127.1_4665	NC_000913.3_cds_NP_415824.1_1293	0.984	315	K8943_RS23920	b1308
NZ_CP082949.1_cds_WP_000474088.1_3601	NC_000913.3_cds_NP_414837.2_298	0.974	237	K8943_RS18465	b0303
NZ_CP082949.1_cds_WP_000475719.1_4407	NC_000913.3_cds_NP_415619.1_1074	0.995	1434	K8943_RS22590	b1101
NZ_CP082949.1_cds_WP_000476014.1_779	NC_000913.3_cds_NP_416585.1_2067	0.975	1362	K8943_RS03965	b2081
NZ_CP082949.1_cds_WP_000476093.1_4440	NC_000913.3_cds_NP_415652.1_1108	0.987	462	K8943_RS22755	b1134
NZ_CP082949.1_cds_WP_000476478.1_1928	NC_000913.3_cds_NP_417659.1_3137	0.984	636	K8943_RS09845	b3192
NZ_CP082949.1_cds_WP_000477225.1_2092	NC_000913.3_cds_NP_417822.1_3300	0.989	573	K8943_RS10700	b3363
NZ_CP082949.1_cds_WP_000477811.1_3220	NC_000913.3_cds_NP_418799.1_4293	0.987	1323	K8943_RS16525	b4382
NZ_CP082949.1_cds_WP_000478618.1_2242	NC_000913.3_cds_NP_417964.1_3445	0.973	531	K8943_RS11450	b3507
NZ_CP082949.1_cds_WP_000478680.1_4402	NC_000913.3_cds_NP_415614.1_1069	0.985	810	K8943_RS22565	b1096
NZ_CP082949.1_cds_WP_000479632.1_2339	NC_000913.3_cds_NP_418055.1_3539	0.966	363	K8943_RS11940	b3598
NZ_CP082949.1_cds_WP_000480245.1_4406	NC_000913.3_cds_NP_415618.1_1073	0.989	798	K8943_RS22585	b1100
NZ_CP082949.1_cds_WP_000481500.1_4348	NC_000913.3_cds_NP_415558.1_1014	0.993	651	K8943_RS22295	b1040
NZ_CP082949.1_cds_WP_000482901.1_753	NC_000913.3_cds_NP_416565.1_2045	0.981	444	K8943_RS03835	b2061
NZ_CP082949.1_cds_WP_000483379.1_171	NC_000913.3_cds_NP_416136.1_1611	0.963	768	K8943_RS00865	b1619
NZ_CP082949.1_cds_WP_000483824.1_2358	NC_000913.3_cds_NP_418071.4_3556	0.972	960	K8943_RS12035	b3614
NZ_CP082949.1_cds_WP_000484022.1_1068	NC_000913.3_cds_NP_416879.4_2358	0.975	921	K8943_RS05420	b2378
NZ_CP082949.1_cds_WP_000484048.1_3668	NC_000913.3_cds_NP_414919.1_378	0.984	1116	K8943_RS18805	b0385
NZ_CP082949.1_cds_WP_000485012.1_4645	NC_000913.3_cds_NP_415802.1_1270	0.988	1935	K8943_RS23820	b1286
NZ_CP082949.1_cds_WP_000486943.1_2835	NC_000913.3_cds_NP_418478.1_3970	0.972	1192	K8943_RS14560	b4054
NZ_CP082949.1_cds_WP_000487248.1_860	NC_000913.3_cds_NP_416674.1_2150	0.987	1131	K8943_RS04370	b2169
NZ_CP082949.1_cds_WP_000487600.1_1100	NC_000913.3_cds_NP_416910.1_2391	1.0	258	K8943_RS05610	b2415
NZ_CP082949.1_cds_WP_000487654.1_2584	NC_000913.3_cds_YP_026266.1_3762	0.983	1023	K8943_RS13220	b3825
NZ_CP082949.1_cds_WP_000489277.1_847	NC_000913.3_cds_NP_416660.1_2136	0.989	1992	K8943_RS04305	b2155
NZ_CP082949.1_cds_WP_000489574.1_4352	NC_000913.3_cds_NP_415562.1_1018	0.974	312	K8943_RS22315	b1044
NZ_CP082949.1_cds_WP_000489658.1_1158	NC_000913.3_cds_NP_416989.1_2472	0.965	1464	K8943_RS05900	b2494
NZ_CP082949.1_cds_WP_000489816.1_2487	NC_000913.3_cds_NP_418176.1_3669	0.964	1617	K8943_RS12685	b3720
NZ_CP082949.1_cds_WP_000490069.1_1081	NC_000913.3_cds_NP_416891.1_2371	0.963	327	K8943_RS05485	b2390
NZ_CP082949.1_cds_WP_000490275.1_3214	NC_000913.3_cds_YP_588479.2_4287	1.0	162	K8943_RS16495	b4568
NZ_CP082949.1_cds_WP_000490420.1_1377	NC_000913.3_cds_NP_417233.1_2713	0.96	1036	K8943_RS07040	b2753
NZ_CP082949.1_cds_WP_000491135.1_4095	NC_000913.3_cds_NP_415395.2_850	0.97	900	K8943_RS21020	b0874
NZ_CP082949.1_cds_WP_000491567.1_23	NC_000913.3_cds_NP_415953.1_1423	0.974	231	K8943_RS00115	b1436
NZ_CP082949.1_cds_WP_000492656.1_1292	NC_000913.3_cds_NP_417156.1_2637	0.993	450	K8943_RS06590	b2670
NZ_CP082949.1_cds_WP_000492914.1_2994	NC_000913.3_cds_NP_418620.1_4117	0.974	276	K8943_RS15375	b4199
NZ_CP082949.1_cds_WP_000493122.1_2210	NC_000913.3_cds_NP_417933.1_3412	0.975	1575	K8943_RS11290	b3476
NZ_CP082949.1_cds_WP_000493346.1_1542	NC_000913.3_cds_NP_417398.1_2874	0.976	636	K8943_RS07885	b2923
NZ_CP082949.1_cds_WP_000493487.1_1210	NC_000913.3_cds_NP_417042.1_2527	0.978	1512	K8943_RS06155	b2547
NZ_CP082949.1_cds_WP_000493588.1_2096	NC_000913.3_cds_YP_026212.2_3304	0.978	807	K8943_RS10720	b3367
NZ_CP082949.1_cds_WP_000493797.1_1341	NC_000913.3_cds_NP_417200.1_2680	0.97	543	K8943_RS06860	b2720
NZ_CP082949.1_cds_WP_000493948.1_216	NC_000913.3_cds_NP_416179.1_1656	0.976	642	K8943_RS01090	b1662
NZ_CP082949.1_cds_WP_000494186.1_877	NC_000913.3_cds_NP_416690.1_2167	0.985	285	K8943_RS04455	b2185
NZ_CP082949.1_cds_WP_000494484.1_2316	NC_000913.3_cds_NP_418026.1_3509	0.977	1179	K8943_RS11825	b3569
NZ_CP082949.1_cds_WP_000495395.1_3797	NC_000913.3_cds_YP_009029994.1_508	0.966	1260	K8943_RS19455	b4572
NZ_CP082949.1_cds_WP_000495766.1_70	NC_000913.3_cds_NP_415998.4_1466	0.981	216	K8943_RS00350	b1481
NZ_CP082949.1_cds_WP_000497141.1_4057	NC_000913.3_cds_NP_415357.1_812	0.994	384	K8943_RS20830	b0836
NZ_CP082949.1_cds_WP_000497362.1_2104	NC_000913.3_cds_NP_417840.1_3317	0.924	1164	K8943_RS10760	b3381
NZ_CP082949.1_cds_WP_000497726.1_1963	NC_000913.3_cds_NP_417702.1_3180	0.933	1068	K8943_RS10020	b3235
NZ_CP082949.1_cds_WP_000498253.1_4639	NC_000913.3_cds_NP_415799.1_1264	0.972	219	K8943_RS23790	b1283
NZ_CP082949.1_cds_WP_000499788.1_2508	NC_000913.3_cds_NP_418197.1_3690	0.984	1890	K8943_RS12790	b3741
NZ_CP082949.1_cds_WP_000501612.1_870	NC_000913.3_cds_NP_416683.1_2160	0.978	1095	K8943_RS04420	b2178
NZ_CP082949.1_cds_WP_000502378.1_1498	NC_000913.3_cds_NP_417354.1_2828	0.975	3099	K8943_RS07665	b2878
NZ_CP082949.1_cds_WP_000502940.1_3850	NC_000913.3_cds_NP_415134.1_594	0.976	629	K8943_RS19725	b0601
NZ_CP082949.1_cds_WP_000503931.1_3873	NC_000913.3_cds_NP_415160.1_618	1.0	204	K8943_RS19840	b0627
NZ_CP082949.1_cds_WP_000505872.1_4551	NC_000913.3_cds_NP_415721.1_1179	0.977	1092	K8943_RS23335	b1203
NZ_CP082949.1_cds_WP_000506492.1_4647	NC_000913.3_cds_NP_415804.1_1272	0.989	789	K8943_RS23830	b1288
